timestamp,#job,#traffic,#happythanksgiving,#hawks,#blackfriday
2018-11-22 23:48:24,0,0,0,0,0
2018-11-22 23:48:26,0,0,0,0,0
2018-11-22 23:48:28,0,0,1,0,0
2018-11-22 23:48:30,0,0,1,0,0
2018-11-22 23:48:32,2,0,1,0,0
2018-11-22 23:48:34,8,0,1,0,0
2018-11-22 23:48:36,12,0,1,0,0
2018-11-22 23:48:38,12,0,1,0,0
2018-11-22 23:48:40,12,0,1,0,0
2018-11-22 23:48:42,13,0,1,0,0
2018-11-22 23:48:44,13,0,1,0,0
2018-11-22 23:48:46,25,0,1,0,0
2018-11-22 23:48:48,28,0,1,0,0
2018-11-22 23:48:50,28,0,1,0,0
2018-11-22 23:48:52,31,0,1,0,0
2018-11-22 23:48:54,33,0,1,0,0
2018-11-22 23:48:56,35,0,1,0,0
2018-11-22 23:48:58,35,0,1,0,0
2018-11-22 23:49:00,35,0,1,0,0
2018-11-22 23:49:02,36,0,1,0,0
2018-11-22 23:49:04,44,0,1,0,0
2018-11-22 23:49:06,45,0,1,0,0
2018-11-22 23:49:08,45,0,1,0,0
2018-11-22 23:49:10,45,0,1,0,0
2018-11-22 23:49:12,45,0,1,0,0
2018-11-22 23:49:14,45,0,1,0,0
2018-11-22 23:49:16,52,0,1,0,0
2018-11-22 23:49:18,52,0,1,0,0
2018-11-22 23:49:20,52,0,1,0,0
2018-11-22 23:49:22,52,0,1,0,0
2018-11-22 23:49:24,53,0,2,0,0
2018-11-22 23:49:26,55,0,2,0,0
2018-11-22 23:49:28,55,0,2,0,0
2018-11-22 23:49:30,55,0,2,0,0
2018-11-22 23:49:32,55,0,2,0,0
2018-11-22 23:49:34,58,0,2,0,0
2018-11-22 23:49:36,58,0,2,0,0
2018-11-22 23:49:38,58,0,2,0,0
2018-11-22 23:49:40,58,0,2,0,0
2018-11-22 23:49:42,58,0,2,0,0
2018-11-22 23:49:44,64,0,2,0,0
2018-11-22 23:49:46,64,0,2,0,0
2018-11-22 23:49:48,64,0,2,0,0
2018-11-22 23:49:50,64,0,2,0,0
2018-11-22 23:49:52,65,0,2,0,0
2018-11-22 23:49:54,68,0,2,0,1
2018-11-22 23:49:56,70,0,2,0,1
2018-11-22 23:49:58,70,0,2,0,1
2018-11-22 23:50:00,70,0,2,0,1
2018-11-22 23:50:02,72,0,2,0,1
2018-11-22 23:50:04,76,0,2,0,1
2018-11-22 23:50:06,85,0,3,0,1
2018-11-22 23:50:08,85,0,3,0,1
2018-11-22 23:50:10,85,0,3,0,1
2018-11-22 23:50:12,85,0,3,0,1
2018-11-22 23:50:14,89,0,4,0,1
2018-11-22 23:50:16,89,0,4,0,1
2018-11-22 23:50:18,89,0,4,0,1
2018-11-22 23:50:20,89,0,4,0,1
2018-11-22 23:50:22,93,0,4,0,1
2018-11-22 23:50:24,93,0,4,0,1
2018-11-22 23:50:26,93,0,4,0,1
2018-11-22 23:50:28,93,0,4,0,2
2018-11-22 23:50:30,93,0,4,0,2
2018-11-22 23:50:32,98,0,4,0,2
2018-11-22 23:50:34,98,0,4,0,2
2018-11-22 23:50:36,98,0,5,0,2
2018-11-22 23:50:38,98,0,5,0,2
2018-11-22 23:50:40,98,0,5,0,2
2018-11-22 23:50:42,98,0,6,0,2
2018-11-22 23:50:44,102,0,6,0,2
2018-11-22 23:50:46,103,0,6,0,2
2018-11-22 23:50:48,103,0,6,0,2
2018-11-22 23:50:50,103,0,6,0,2
2018-11-22 23:50:52,105,0,6,0,2
2018-11-22 23:50:54,119,0,7,0,2
2018-11-22 23:50:56,119,0,7,0,2
2018-11-22 23:50:58,119,0,7,0,2
2018-11-22 23:51:00,119,0,8,0,2
2018-11-22 23:51:02,119,0,8,0,2
2018-11-22 23:51:04,120,0,8,0,2
2018-11-22 23:51:06,131,0,8,0,2
2018-11-22 23:51:08,131,0,8,0,2
2018-11-22 23:51:10,131,0,8,0,2
2018-11-22 23:51:12,134,0,8,0,2
2018-11-22 23:51:14,137,0,8,0,2
2018-11-22 23:51:16,137,0,8,0,2
2018-11-22 23:51:18,137,0,8,0,2
2018-11-22 23:51:20,138,0,8,0,2
2018-11-22 23:51:22,146,0,8,0,2
2018-11-22 23:51:24,147,0,9,0,2
2018-11-22 23:51:26,147,0,9,0,2
2018-11-22 23:51:28,147,0,9,0,2
2018-11-22 23:51:30,147,0,9,0,2
2018-11-22 23:51:32,149,0,9,0,2
2018-11-22 23:51:34,154,0,10,0,2
2018-11-22 23:51:36,154,0,10,0,2
2018-11-22 23:51:38,154,0,10,0,2
2018-11-22 23:51:40,154,0,10,0,2
2018-11-22 23:51:42,154,0,11,0,2
2018-11-22 23:51:44,163,0,12,0,2
2018-11-22 23:51:46,163,0,12,0,2
2018-11-22 23:51:48,163,0,12,0,2
2018-11-22 23:51:50,163,0,12,0,2
2018-11-22 23:51:52,163,0,12,0,2
2018-11-22 23:51:54,168,0,12,0,2
2018-11-22 23:51:56,169,0,12,0,2
2018-11-22 23:51:58,169,0,13,0,2
2018-11-22 23:52:00,169,0,14,0,2
2018-11-22 23:52:02,169,0,14,0,2
2018-11-22 23:52:04,175,0,14,0,2
2018-11-22 23:52:06,179,0,14,0,2
2018-11-22 23:52:08,180,0,14,0,2
2018-11-22 23:52:10,180,0,15,0,2
2018-11-22 23:52:12,190,0,15,0,2
2018-11-22 23:52:14,191,0,15,0,3
2018-11-22 23:52:16,191,0,15,0,3
2018-11-22 23:52:18,192,0,15,0,3
2018-11-22 23:52:20,192,0,15,0,3
2018-11-22 23:52:22,192,0,15,0,4
