timestamp,microsoft_pos,microsoft_neu,microsoft_neg,logitech_pos,logitech_neu,logitech_neg,nvidia_pos,nvidia_neu,nvidia_neg,leagueoflegends_pos,leagueoflegends_neu,leagueoflegends_neg,apple_pos,apple_neu,apple_neg
2018-11-22 06:46:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-22 06:46:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
