@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
48469,0.017,0.824,0.158,0.9634,neutral
67993,0.184,0.759,0.057,-0.95,negative
67906,0,0.522,0.478,0.8091,positive
51783,0.019,0.82,0.161,0.9625,neutral
32785,0.073,0.849,0.078,-0.0121,negative
31247,0.099,0.781,0.12,0.5107,negative
61818,0,0.671,0.329,0.9825,positive
45493,0.03,0.764,0.205,0.9001,neutral
32560,0,0.795,0.205,0.9074,positive
71889,0,0.692,0.308,0.9438,positive
69071,0.051,0.749,0.2,0.7644,positive
47813,0.021,0.865,0.113,0.9302,neutral
31230,0,0.684,0.316,0.9231,positive
1838,0,0.879,0.121,0.8718,positive
58979,0,0.701,0.299,0.8268,positive
27880,0.224,0.776,0,-0.6561,neutral
32739,0.144,0.778,0.079,-0.6271,negative
61488,0,0.876,0.124,0.8309,positive
37617,0.104,0.799,0.096,-0.2453,negative
63494,0.203,0.797,0,-0.5142,negative
54766,0.021,0.709,0.27,0.9868,positive
49634,0.128,0.667,0.205,0.9202,neutral
7690,0.031,0.893,0.075,0.484,negative
45987,0.223,0.622,0.155,-0.6134,negative
27377,0,0.796,0.204,0.9636,positive
16700,0.04,0.926,0.034,-0.1027,negative
46177,0.075,0.702,0.223,0.9551,positive
54801,0,0.863,0.137,0.5411,positive
31979,0,0.664,0.336,0.7964,positive
1428,0.023,0.707,0.27,0.9948,positive
60115,0.041,0.708,0.251,0.9691,positive
67797,0.108,0.892,0,-0.4404,negative
52374,0,0.354,0.646,0.9872,positive
47649,0.093,0.789,0.118,0.6072,positive
72079,0.107,0.63,0.264,0.9135,positive
51659,0.063,0.667,0.27,0.9446,positive
38690,0.076,0.772,0.152,0.9093,positive
4023,0,0.931,0.069,0.5859,negative
8944,0.069,0.843,0.088,0.3472,negative
2310,0.152,0.811,0.038,-0.7647,negative
72049,0,0.763,0.237,0.9442,positive
47967,0.018,0.932,0.05,0.4939,neutral
29538,0.14,0.86,0,-0.4767,negative
16514,0,1,0,0,negative
70224,0,0.729,0.271,0.9868,positive
25989,0.036,0.833,0.131,0.6542,neutral
59277,0.108,0.82,0.071,-0.2344,negative
7187,0.057,0.684,0.259,0.7858,positive
11802,0,0.694,0.306,0.98,positive
39881,0.055,0.798,0.147,0.9479,neutral
47427,0.018,0.651,0.331,0.9942,neutral
11782,0.013,0.846,0.141,0.9334,positive
31396,0,0.81,0.19,0.9086,positive
23601,0,0.906,0.094,0.6908,positive
23133,0,1,0,0,positive
61937,0.04,0.767,0.192,0.9606,positive
25379,0.179,0.66,0.161,-0.6705,negative
9064,0.077,0.826,0.097,0.6143,neutral
46480,0.055,0.816,0.129,0.9068,positive
71558,0,0.78,0.22,0.9738,positive
23820,0.263,0.737,0,-0.886,negative
33597,0,0.87,0.13,0.5093,positive
34199,0,0.714,0.286,0.9469,positive
36987,0.104,0.896,0,-0.5423,negative
38267,0,0.782,0.218,0.9313,positive
1114,0.097,0.785,0.118,0.3612,neutral
23748,0.146,0.854,0,-0.4748,positive
44414,0.028,0.755,0.217,0.9891,positive
67256,0,1,0,0,negative
60441,0.044,0.781,0.175,0.9786,positive
47258,0.026,0.842,0.132,0.9566,positive
52551,0.05,0.72,0.23,0.9862,positive
31989,0,0.72,0.28,0.9954,positive
40798,0.039,0.805,0.155,0.7584,positive
53292,0.109,0.891,0,-0.5439,positive
57348,0.063,0.814,0.123,0.4505,positive
65708,0.057,0.712,0.231,0.9538,positive
746,0.047,0.821,0.132,0.893,positive
66783,0.077,0.562,0.361,0.9744,positive
30490,0.018,0.836,0.146,0.9379,negative
34166,0.1,0.744,0.156,0.5355,positive
45026,0.03,0.861,0.11,0.8228,neutral
37628,0.086,0.842,0.072,0.0258,negative
40586,0.065,0.779,0.156,0.5571,positive
59702,0.045,0.732,0.223,0.9694,positive
8691,0.051,0.949,0,-0.1027,negative
58641,0.017,0.719,0.264,0.9927,positive
62802,0,0.829,0.171,0.8687,positive
18324,0.19,0.716,0.094,-0.5106,negative
26063,0.087,0.778,0.135,0.3802,positive
35399,0,0.706,0.294,0.9765,positive
50820,0.013,0.921,0.066,0.8201,neutral
70159,0.179,0.798,0.023,-0.8845,positive
59507,0,0.723,0.277,0.9882,positive
9857,0,0.746,0.254,0.8975,positive
13656,0.01,0.932,0.059,0.836,positive
15143,0,0.892,0.108,0.5574,negative
37821,0.158,0.778,0.065,-0.6845,negative
